"Report_Name","Journal Usage by Access Type"
"Report_ID","TR_J3"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests"
"Report_Filters","Data_Type=Journal; Access_Method=Regular"
"Report_Attributes","Attributes_To_Show=Access_Type; "
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","Print_ISSN","Online_ISSN","URI","Access_Type","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Journal of the Chemical Society D: Chemical Communications","Royal Society of Chemistry","","rsc.org","","","","0577-6171","","Controlled","Unique_Item_Investigations","4","0","0","0","1","3"
"Journal of the Chemical Society D: Chemical Communications","Royal Society of Chemistry","","rsc.org","","","","0577-6171","","Controlled","Unique_Item_Requests","3","0","0","0","1","2"
"Journal of the Chemical Society, Abstracts","Royal Society of Chemistry","","rsc.org","","","","0590-9791","","Controlled","Total_Item_Investigations","5","0","0","0","3","2"
"Journal of the Chemical Society, Abstracts","Royal Society of Chemistry","","rsc.org","","","","0590-9791","","Controlled","Total_Item_Requests","3","0","0","0","2","1"
"Journal of the Chemical Society, Abstracts","Royal Society of Chemistry","","rsc.org","","","","0590-9791","","Controlled","Unique_Item_Investigations","5","0","0","0","3","2"
"Journal of the Chemical Society, Abstracts","Royal Society of Chemistry","","rsc.org","","","","0590-9791","","Controlled","Unique_Item_Requests","3","0","0","0","2","1"
"Journal of the Chemical Society, Chemical Communications","Royal Society of Chemistry","","rsc.org","","","","0022-4936","","Controlled","Total_Item_Investigations","18","0","0","0","8","10"
"Journal of the Chemical Society, Chemical Communications","Royal Society of Chemistry","","rsc.org","","","","0022-4936","","Controlled","Total_Item_Requests","16","0","0","0","8","8"
"Journal of the Chemical Society, Chemical Communications","Royal Society of Chemistry","","rsc.org","","","","0022-4936","","Controlled","Unique_Item_Investigations","15","0","0","0","8","7"
"Journal of the Chemical Society, Chemical Communications","Royal Society of Chemistry","","rsc.org","","","","0022-4936","","Controlled","Unique_Item_Requests","13","0","0","0","8","5"
"Journal of the Chemical Society, Faraday Transactions","Royal Society of Chemistry","","rsc.org","","","1364-5455","0956-5000","","Controlled","Total_Item_Investigations","14","0","0","0","10","4"
"Journal of the Chemical Society, Faraday Transactions","Royal Society of Chemistry","","rsc.org","","","1364-5455","0956-5000","","Controlled","Total_Item_Requests","14","0","0","0","10","4"
"Journal of the Chemical Society, Faraday Transactions","Royal Society of Chemistry","","rsc.org","","","1364-5455","0956-5000","","Controlled","Unique_Item_Investigations","11","0","0","0","8","3"
"Journal of the Chemical Society, Faraday Transactions","Royal Society of Chemistry","","rsc.org","","","1364-5455","0956-5000","","Controlled","Unique_Item_Requests","11","0","0","0","8","3"
"Journal of the Chemical Society, Faraday Transactions 1","Royal Society of Chemistry","","rsc.org","","","","0300-9599","","Controlled","Total_Item_Investigations","10","0","0","0","9","1"
